date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:13:19	888703/888703	---M--	200	added ('OK')	image/jpeg	etag:%2260dfade9360037acb461f4f46a999eca%22	https://uploads-ssl.webflow.com/625da671132e422bfdf806ce/625dd34534e6bb00d6becb0e_uc.jpeg	C:/My%20Web%20Sites/BFA%202022/uploads-ssl.webflow.com/625da671132e422bfdf806ce/625dd34534e6bb00d6becb0e_uc.jpg	(from https://bfa2022.massartphotography.org/)
13:13:19	406668/406668	---M--	200	added ('OK')	image/jpeg	etag:%22e55fd1b39cc5c293b7a1b202975045fc%22	https://uploads-ssl.webflow.com/625da671132e422bfdf806ce/625f30dda179149630198c7b_Thompson_Carter-4.jpg	C:/My%20Web%20Sites/BFA%202022/uploads-ssl.webflow.com/625da671132e422bfdf806ce/625f30dda179149630198c7b_Thompson_Carter-4.jpg	(from https://bfa2022.massartphotography.org/)
13:13:20	530652/530652	---M--	200	added ('OK')	image/jpeg	etag:%22e4735da454c343934ed4a8e2435cc019%22	https://uploads-ssl.webflow.com/625da671132e422bfdf806ce/625dd3b29c7e7d43c81b778a_uc.jpeg	C:/My%20Web%20Sites/BFA%202022/uploads-ssl.webflow.com/625da671132e422bfdf806ce/625dd3b29c7e7d43c81b778a_uc.jpg	(from https://bfa2022.massartphotography.org/)
13:13:22	419065/419065	---M--	200	added ('OK')	image/jpeg	etag:%2224c3cabee79eab06d07948867ce99b03%22	https://uploads-ssl.webflow.com/625da671132e422bfdf806ce/625dd32d9f1488a8d074af77_uc.jpeg	C:/My%20Web%20Sites/BFA%202022/uploads-ssl.webflow.com/625da671132e422bfdf806ce/625dd32d9f1488a8d074af77_uc.jpg	(from https://bfa2022.massartphotography.org/)
13:13:23	718354/718354	---M--	200	added ('OK')	image/jpeg	etag:%227e9fb19eb00482da0cb69c68075737d3%22	https://uploads-ssl.webflow.com/625da671132e422bfdf806ce/625dd32663e978c269659003_uc.jpeg	C:/My%20Web%20Sites/BFA%202022/uploads-ssl.webflow.com/625da671132e422bfdf806ce/625dd32663e978c269659003_uc.jpg	(from https://bfa2022.massartphotography.org/)
13:13:25	442597/442597	---M--	200	added ('OK')	image/jpeg	etag:%22f4705123dbf39e858005b3471c265278%22	https://uploads-ssl.webflow.com/625da671132e422bfdf806ce/625dd34777c2b22d8abb163b_uc.jpeg	C:/My%20Web%20Sites/BFA%202022/uploads-ssl.webflow.com/625da671132e422bfdf806ce/625dd34777c2b22d8abb163b_uc.jpg	(from https://bfa2022.massartphotography.org/)
13:13:25	349602/349602	---M--	200	added ('OK')	image/jpeg	etag:%223998e5c2d9c60090e51e69a98e37ae42%22	https://uploads-ssl.webflow.com/625da671132e422bfdf806ce/625dd3b69f1488be5174b235_uc.jpeg	C:/My%20Web%20Sites/BFA%202022/uploads-ssl.webflow.com/625da671132e422bfdf806ce/625dd3b69f1488be5174b235_uc.jpg	(from https://bfa2022.massartphotography.org/)
13:13:26	1254778/1254778	---M--	200	added ('OK')	image/jpeg	etag:%225ad04df8b5c3e67820cf95a3e41fdd97%22	https://uploads-ssl.webflow.com/625da671132e422bfdf806ce/625dd3313fb88d501646e7c5_uc.jpeg	C:/My%20Web%20Sites/BFA%202022/uploads-ssl.webflow.com/625da671132e422bfdf806ce/625dd3313fb88d501646e7c5_uc.jpg	(from https://bfa2022.massartphotography.org/)
13:13:28	300755/300755	---M--	200	added ('OK')	image/jpeg	etag:%226126ecfb403c95d18b164fb3ca17709d%22	https://uploads-ssl.webflow.com/625da671132e422bfdf806ce/625dd342d77cae2361519af7_uc.jpeg	C:/My%20Web%20Sites/BFA%202022/uploads-ssl.webflow.com/625da671132e422bfdf806ce/625dd342d77cae2361519af7_uc.jpg	(from https://bfa2022.massartphotography.org/)
13:13:29	584862/584862	---M--	200	added ('OK')	image/jpeg	etag:%2283ca822968557f76a68250fedd936944%22	https://uploads-ssl.webflow.com/625da671132e422bfdf806ce/625dd386eb5db514c4743f97_uc.jpeg	C:/My%20Web%20Sites/BFA%202022/uploads-ssl.webflow.com/625da671132e422bfdf806ce/625dd386eb5db514c4743f97_uc.jpg	(from https://bfa2022.massartphotography.org/)
